imageFile,maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.rt,nPumps,size,earnings,popped,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,space,2.61611914635,,,,,bart,,,60.0575330658,004,2014_oct_24_0810,,
blueBalloon.png,2,0,0,0,0,,,3,0.13,0.0,True,bart,,,60.0575330658,004,2014_oct_24_0810,,
blueBalloon.png,20,0,1,1,3,,,13,0.295,0.65,False,bart,,,60.0575330658,004,2014_oct_24_0810,,
