text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
blue,0,left,red,0,0,0,5,right,0,1.400418997,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,1,right,blue,0,1,1,4,right,1,0.717049837,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,0,right,blue,0,2,2,3,down,0,1.16738987,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,1,left,red,0,3,3,0,left,1,0.666992188,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,1,down,green,0,4,4,2,down,0,0.750785112,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,0,down,green,0,5,5,1,left,0,1.46676898,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,0,right,blue,1,0,6,3,down,0,0.800561905,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,0,down,green,1,1,7,1,left,0,0.81724906,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,0,left,red,1,2,8,5,right,0,0.783825874,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,1,down,green,1,3,9,2,down,0,0.667243004,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,1,right,blue,1,4,10,4,right,1,0.950735092,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,1,left,red,1,5,11,0,left,1,0.733822107,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,0,down,green,2,0,12,1,left,0,1.850482941,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,0,left,red,2,1,13,5,right,0,0.950766087,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,1,left,red,2,2,14,0,left,1,0.633723021,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,1,down,green,2,3,15,2,down,0,0.800941944,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,1,right,blue,2,4,16,4,right,1,0.850805044,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,0,right,blue,2,5,17,3,down,0,1.267126083,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,1,down,green,3,0,18,2,down,0,0.867345095,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,0,right,blue,3,1,19,3,down,0,0.900761127,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,0,down,green,3,2,20,1,left,0,1.133850813,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,1,left,red,3,3,21,0,left,1,0.61739707,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,0,left,red,3,4,22,5,right,0,0.750625134,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,1,right,blue,3,5,23,4,right,1,0.816865921,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,0,right,blue,4,0,24,3,down,0,1.150514126,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,1,right,blue,4,1,25,4,right,1,0.600810051,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,1,left,red,4,2,26,0,left,1,0.633938074,2014_Oct_04_1614,60.00452076,stroop,1,2,
red,0,down,green,4,3,27,1,down,0,1.817346811,2014_Oct_04_1614,60.00452076,stroop,1,2,
green,1,down,green,4,4,28,2,down,0,0.984045029,2014_Oct_04_1614,60.00452076,stroop,1,2,
blue,0,left,red,4,5,29,5,right,0,1.400804043,2014_Oct_04_1614,60.00452076,stroop,1,2,
