text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
blue,1,right,blue,0,0,0,4,right,1,0.88391614,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,1,down,green,0,1,1,2,down,1,0.650640011,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,1,left,red,0,2,2,0,left,1,0.784291983,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,0,down,green,0,3,3,1,down,1,1.150815964,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,0,right,blue,0,4,4,3,right,1,1.733926058,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,0,left,red,0,5,5,5,left,1,1.45065093,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,1,left,red,1,0,6,0,left,1,0.650368929,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,0,down,green,1,1,7,1,down,1,0.817105055,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,0,right,blue,1,2,8,3,right,1,0.417217016,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,1,right,blue,1,3,9,4,right,1,0.500372887,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,1,down,green,1,4,10,2,down,1,0.700758934,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,0,left,red,1,5,11,5,left,1,0.467217922,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,0,down,green,2,0,12,1,down,1,1.133738041,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,1,down,green,2,1,13,2,down,1,0.550661087,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,1,right,blue,2,2,14,4,right,1,0.41741395,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,0,right,blue,2,3,15,3,down,0,0.500545979,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,1,left,red,2,4,16,0,left,1,0.667539835,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,0,left,red,2,5,17,5,left,1,1.034013033,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,1,left,red,3,0,18,0,left,1,0.767274857,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,0,right,blue,3,1,19,3,right,1,0.600596905,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,0,left,red,3,2,20,5,left,1,0.650735855,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,0,down,green,3,3,21,1,down,1,0.867287874,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,1,right,blue,3,4,22,4,right,1,0.650501966,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,1,down,green,3,5,23,2,down,1,1.067335844,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,0,right,blue,4,0,24,3,right,1,1.016654015,2014_Oct_04_1617,59.96788791,stroop,1,4,
green,1,down,green,4,1,25,2,down,1,2.717227936,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,0,left,red,4,2,26,5,left,1,0.867039919,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,1,left,red,4,3,27,0,left,1,0.900454044,2014_Oct_04_1617,59.96788791,stroop,1,4,
red,0,down,green,4,4,28,1,down,1,0.750585079,2014_Oct_04_1617,59.96788791,stroop,1,4,
blue,1,right,blue,4,5,29,4,right,1,0.867276907,2014_Oct_04_1617,59.96788791,stroop,1,4,
