text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,1,down,green,0,0,0,2,down,1,2.21745300293,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,0,left,red,0,1,1,5,left,1,1.75090813637,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,1,right,blue,0,2,2,4,right,1,0.467486143112,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,0,right,blue,0,3,3,3,right,1,0.900825023651,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,1,left,red,0,4,4,0,left,1,0.583977937698,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,0,down,green,0,5,5,1,down,1,2.35094594955,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,0,left,red,1,0,6,5,left,1,1.53410410881,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,1,down,green,1,1,7,2,right,0,1.55079007149,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,1,right,blue,1,2,8,4,right,1,0.767493963242,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,1,left,red,1,3,9,0,left,1,0.700701951981,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,0,right,blue,1,4,10,3,right,1,0.91726899147,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,0,down,green,1,5,11,1,down,1,3.01744484901,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,0,left,red,2,0,12,5,left,1,0.817355871201,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,1,down,green,2,1,13,2,down,1,0.900665998459,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,0,down,green,2,2,14,1,down,1,1.21715092659,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,1,left,red,2,3,15,0,left,1,0.550806999207,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,1,right,blue,2,4,16,4,right,1,0.45050907135,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,0,right,blue,2,5,17,3,down,0,1.15057587624,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,0,left,red,3,0,18,5,left,1,1.33405089378,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,0,down,green,3,1,19,1,right,0,1.01717400551,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,0,right,blue,3,2,20,3,right,1,0.850409030914,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,1,left,red,3,3,21,0,left,1,0.63388299942,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,1,down,green,3,4,22,2,left,0,0.617122888565,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,1,right,blue,3,5,23,4,right,1,0.983903884888,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,1,left,red,4,0,24,0,left,1,0.517244815826,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,1,down,green,4,1,25,2,down,1,0.450483083725,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,0,left,red,4,2,26,5,left,1,1.01741194725,2014_Oct_05_1515,59.9534872419,stroop,01,7,
green,0,right,blue,4,3,27,3,right,1,0.884092092514,2014_Oct_05_1515,59.9534872419,stroop,01,7,
red,0,down,green,4,4,28,1,down,1,2.03393816948,2014_Oct_05_1515,59.9534872419,stroop,01,7,
blue,1,right,blue,4,5,29,4,right,1,0.800714015961,2014_Oct_05_1515,59.9534872419,stroop,01,7,
