text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,1,down,green,0,0,0,2,down,1,0.850600004,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,1,left,red,0,1,1,0,left,1,0.783764124,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,0,left,red,0,2,2,5,left,1,4.801053047,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,0,down,green,0,3,3,1,down,1,1.834275961,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,0,right,blue,0,4,4,3,right,1,1.417617798,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,1,right,blue,0,5,5,4,right,1,1.300404072,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,0,left,red,1,0,6,5,left,1,0.917345047,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,1,left,red,1,1,7,0,left,1,0.767427921,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,0,down,green,1,2,8,1,down,1,2.100793839,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,0,right,blue,1,3,9,3,right,1,0.834109068,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,1,down,green,1,4,10,2,down,1,2.100873947,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,1,right,blue,1,5,11,4,right,1,0.583553076,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,1,right,blue,2,0,12,4,right,1,0.800374985,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,0,down,green,2,1,13,1,down,1,2.317466974,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,0,left,red,2,2,14,5,left,1,0.784100056,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,1,left,red,2,3,15,0,left,1,0.650895119,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,0,right,blue,2,4,16,3,right,1,0.617290974,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,1,down,green,2,5,17,2,down,1,1.350791931,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,1,left,red,3,0,18,0,left,1,0.700624228,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,0,down,green,3,1,19,1,down,1,2.183797836,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,1,down,green,3,2,20,2,down,1,1.817586899,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,0,left,red,3,3,21,5,left,1,1.000692129,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,1,right,blue,3,4,22,4,right,1,0.484019995,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,0,right,blue,3,5,23,3,right,1,1.050724983,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,0,right,blue,4,0,24,3,right,1,0.867417097,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,0,left,red,4,1,25,5,left,1,0.800256014,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,0,down,green,4,2,26,1,down,1,1.967605114,2014_Oct_05_1512,59.49975033,stroop,1,6,
blue,1,right,blue,4,3,27,4,right,1,0.633862972,2014_Oct_05_1512,59.49975033,stroop,1,6,
green,1,down,green,4,4,28,2,down,1,1.467586041,2014_Oct_05_1512,59.49975033,stroop,1,6,
red,1,left,red,4,5,29,0,left,1,0.866946936,2014_Oct_05_1512,59.49975033,stroop,1,6,
