text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,0,right,blue,0,0,0,3,right,1,0.700752973557,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,0,left,red,0,1,1,5,left,1,0.467298984528,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,1,down,green,0,2,2,2,right,0,0.617346048355,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,1,right,blue,0,3,3,4,right,1,0.483781099319,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,1,left,red,0,4,4,0,left,1,0.400745153427,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,0,down,green,0,5,5,1,left,0,0.533649921417,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,1,right,blue,1,0,6,4,right,1,0.667052984238,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,0,down,green,1,1,7,1,left,0,0.55081319809,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,0,left,red,1,2,8,5,left,1,0.317048072815,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,0,right,blue,1,3,9,3,right,1,0.817048072815,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,1,down,green,1,4,10,2,left,0,0.784152030945,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,1,left,red,1,5,11,0,left,1,0.483661174774,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,0,right,blue,2,0,12,3,right,1,0.417240142822,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,0,left,red,2,1,13,5,left,1,0.734068870544,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,1,left,red,2,2,14,0,left,1,0.617037057877,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,0,down,green,2,3,15,1,right,0,0.650557994843,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,1,right,blue,2,4,16,4,right,1,0.333946943283,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,1,down,green,2,5,17,2,left,0,0.417448997498,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,0,right,blue,3,0,18,3,right,1,0.750774145126,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,0,left,red,3,1,19,5,left,1,0.284090995789,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,1,down,green,3,2,20,2,right,0,0.700687170029,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,0,down,green,3,3,21,1,down,1,0.633855104446,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,1,right,blue,3,4,22,4,right,1,0.566591978073,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,1,left,red,3,5,23,0,left,1,0.367394924164,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,0,left,red,4,0,24,5,left,1,0.600512981415,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,1,down,green,4,1,25,2,right,0,0.733901023865,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,0,down,green,4,2,26,1,down,1,0.983704090118,2014_Oct_05_1708,59.989759286,stroop,01,10,
blue,1,right,blue,4,3,27,4,right,1,0.483955144882,2014_Oct_05_1708,59.989759286,stroop,01,10,
green,0,right,blue,4,4,28,3,right,1,0.883847951889,2014_Oct_05_1708,59.989759286,stroop,01,10,
red,1,left,red,4,5,29,0,left,1,0.500822067261,2014_Oct_05_1708,59.989759286,stroop,01,10,
