text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
red,1,left,red,0,0,0,0,left,1,0.550529003,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,1,right,blue,0,1,1,4,right,1,0.667338848,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,0,right,blue,0,2,2,3,right,1,1.084238052,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,1,down,green,0,3,3,2,down,0,1.10036993,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,0,down,green,0,4,4,1,down,0,1.61729002,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,0,left,red,0,5,5,5,left,1,1.217529058,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,0,left,red,1,0,6,5,left,1,0.683684111,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,1,left,red,1,1,7,0,left,1,0.600491047,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,1,right,blue,1,2,8,4,right,1,0.750533819,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,0,down,green,1,3,9,1,down,1,0.534067869,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,1,down,green,1,4,10,2,down,1,0.916884899,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,0,right,blue,1,5,11,3,right,1,0.650452137,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,0,right,blue,2,0,12,3,right,1,0.700067043,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,0,left,red,2,1,13,5,left,1,1.167184114,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,1,right,blue,2,2,14,4,right,1,0.967492819,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,1,down,green,2,3,15,2,down,1,0.884062052,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,0,down,green,2,4,16,1,left,0,1.750328064,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,1,left,red,2,5,17,0,left,1,1.016748905,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,0,down,green,3,0,18,1,down,1,1.6675179,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,0,left,red,3,1,19,5,left,1,1.934180021,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,1,down,green,3,2,20,2,down,1,1.500771999,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,0,right,blue,3,3,21,3,right,1,1.450448036,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,1,left,red,3,4,22,0,left,1,0.584038019,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,1,right,blue,3,5,23,4,right,1,1.000511885,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,0,down,green,4,0,24,1,down,1,1.733967066,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,0,left,red,4,1,25,5,left,1,2.017194986,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,1,down,green,4,2,26,2,down,1,0.70063591,2014_Oct_04_1616,59.98512637,stroop,1,3,
blue,1,right,blue,4,3,27,4,right,1,0.58354187,2014_Oct_04_1616,59.98512637,stroop,1,3,
green,0,right,blue,4,4,28,3,right,1,0.90042901,2014_Oct_04_1616,59.98512637,stroop,1,3,
red,1,left,red,4,5,29,0,left,1,0.783867121,2014_Oct_04_1616,59.98512637,stroop,1,3,
