text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
red,0,down,green,0,0,0,1,down,1,1.417607069,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,0,left,red,0,1,1,5,left,1,1.033924103,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,1,right,blue,0,2,2,4,right,1,0.567466974,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,1,down,green,0,3,3,2,down,1,0.63380909,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,0,right,blue,0,4,4,3,right,1,1.000440836,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,1,left,red,0,5,5,0,left,1,1.550748825,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,0,right,blue,1,0,6,3,right,1,0.83395195,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,0,left,red,1,1,7,5,left,1,0.767637968,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,1,left,red,1,2,8,0,left,1,0.567142963,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,0,down,green,1,3,9,1,down,1,0.650638819,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,1,down,green,1,4,10,2,down,1,0.617421865,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,1,right,blue,1,5,11,4,right,1,0.367297888,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,0,left,red,2,0,12,5,left,1,0.500391006,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,1,left,red,2,1,13,0,left,1,0.567229033,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,0,right,blue,2,2,14,3,right,1,0.533653021,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,1,down,green,2,3,15,2,down,1,0.600645065,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,1,right,blue,2,4,16,4,right,1,0.683990955,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,0,down,green,2,5,17,1,down,1,0.467289925,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,1,down,green,3,0,18,2,down,1,0.650621176,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,0,down,green,3,1,19,1,down,1,0.850704908,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,0,right,blue,3,2,20,3,right,1,0.633786917,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,0,left,red,3,3,21,5,left,1,0.533767939,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,1,left,red,3,4,22,0,left,1,0.483765125,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,1,right,blue,3,5,23,4,right,1,0.55059886,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,0,left,red,4,0,24,5,left,1,0.533711195,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,1,down,green,4,1,25,2,down,1,0.683954,2014_Oct_04_1618,59.99310573,stroop,1,5,
blue,1,right,blue,4,2,26,4,right,1,0.666794062,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,0,down,green,4,3,27,1,down,1,0.667088985,2014_Oct_04_1618,59.99310573,stroop,1,5,
green,0,right,blue,4,4,28,3,right,1,0.60069108,2014_Oct_04_1618,59.99310573,stroop,1,5,
red,1,left,red,4,5,29,0,left,1,0.600759983,2014_Oct_04_1618,59.99310573,stroop,1,5,
