text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
green,0,right,blue,0,0,0,3,right,1,0.783999919891,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,1,down,green,0,1,1,2,right,0,0.900810003281,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,0,left,red,0,2,2,5,left,1,0.917340993881,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,1,left,red,0,3,3,0,left,1,0.667319059372,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,1,right,blue,0,4,4,4,right,1,0.45060300827,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,0,down,green,0,5,5,1,down,1,3.53429293633,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,0,left,red,1,0,6,5,left,1,0.867476224899,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,1,right,blue,1,1,7,4,right,1,0.500466108322,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,0,down,green,1,2,8,1,right,0,0.650218963623,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,0,right,blue,1,3,9,3,right,1,0.78382396698,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,1,down,green,1,4,10,2,left,0,0.533915042877,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,1,left,red,1,5,11,0,left,1,0.450276136398,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,0,left,red,2,0,12,5,left,1,0.38399887085,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,1,left,red,2,1,13,0,left,1,0.433633089066,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,0,right,blue,2,2,14,3,right,1,0.383889913559,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,0,down,green,2,3,15,1,left,0,0.366981983185,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,1,right,blue,2,4,16,4,right,1,0.96731710434,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,1,down,green,2,5,17,2,down,1,1.65078806877,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,0,right,blue,3,0,18,3,left,0,0.467231988907,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,1,down,green,3,1,19,2,left,0,0.500592947006,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,0,left,red,3,2,20,5,left,1,0.400553941727,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,1,right,blue,3,3,21,4,right,1,0.30027794838,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,1,left,red,3,4,22,0,left,1,0.566851854324,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,0,down,green,3,5,23,1,down,1,1.01723885536,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,1,right,blue,4,0,24,4,left,0,1.03402805328,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,1,left,red,4,1,25,0,left,1,0.500348806381,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,1,down,green,4,2,26,2,down,1,1.10054802895,2014_Oct_05_1707,59.9678879079,stroop,01,9,
green,0,right,blue,4,3,27,3,right,1,0.767370939255,2014_Oct_05_1707,59.9678879079,stroop,01,9,
red,0,down,green,4,4,28,1,right,0,1.05070090294,2014_Oct_05_1707,59.9678879079,stroop,01,9,
blue,0,left,red,4,5,29,5,left,1,0.750141859055,2014_Oct_05_1707,59.9678879079,stroop,01,9,
