text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
blue,0,left,red,0,0,0,5,left,1,1.084259033,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,1,down,green,0,1,1,2,down,0,0.817152023,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,0,right,blue,0,2,2,3,right,1,0.66740799,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,1,left,red,0,3,3,0,left,1,1.867129803,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,0,down,green,0,4,4,1,down,0,1.550784111,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,1,right,blue,0,5,5,4,right,1,0.934171915,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,0,left,red,1,0,6,5,left,1,1.551031828,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,1,right,blue,1,1,7,4,right,1,2.150357008,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,0,right,blue,1,2,8,3,down,0,1.284407139,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,0,down,green,1,3,9,1,left,0,2.133743048,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,1,down,green,1,4,10,2,down,0,1.28410697,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,1,left,red,1,5,11,0,left,1,1.066982031,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,0,right,blue,2,0,12,3,down,0,0.850466967,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,1,left,red,2,1,13,0,left,1,0.650740862,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,0,left,red,2,2,14,5,right,0,0.634020805,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,1,right,blue,2,3,15,4,right,1,1.700775862,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,0,down,green,2,4,16,1,down,0,1.55072999,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,1,down,green,2,5,17,2,down,0,1.267264128,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,1,left,red,3,0,18,0,left,1,0.750746965,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,0,down,green,3,1,19,1,left,0,1.35025692,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,0,right,blue,3,2,20,3,down,0,0.750806093,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,0,left,red,3,3,21,5,right,0,0.616935968,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,1,down,green,3,4,22,2,down,1,1.467294931,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,1,right,blue,3,5,23,4,right,1,0.767000914,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,1,left,red,4,0,24,0,left,1,1.917701006,2014_Oct_04_1612,59.53336267,stroop,1,1,
red,0,down,green,4,1,25,1,down,1,1.284159899,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,0,right,blue,4,2,26,3,down,0,2.733608007,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,1,right,blue,4,3,27,4,right,1,3.184338093,2014_Oct_04_1612,59.53336267,stroop,1,1,
green,1,down,green,4,4,28,2,down,1,0.717483997,2014_Oct_04_1612,59.53336267,stroop,1,1,
blue,0,left,red,4,5,29,5,right,0,1.9173069,2014_Oct_04_1612,59.53336267,stroop,1,1,
